Date,Open,High,Low,Close
2004/12/15,5930.850098,6011.120117,5912.950195,6002.580078
2004/12/16,6007,6025.459961,5990.589844,6019.22998
2004/12/17,6019.799805,6028.75,6002.390137,6009.319824
2004/12/20,5913.27002,5985.939941,5910.040039,5985.939941
2004/12/21,5981.970215,6000.77002,5975.72998,5987.850098
2004/12/22,6008.669922,6043.77002,6001.52002,6001.52002
2004/12/23,6002.799805,6011.430176,5966.100098,5997.669922
2004/12/24,5989.77002,6037.709961,5989.72998,6019.419922
2004/12/27,6018.02002,6018.02002,5973.169922,5985.939941
2004/12/28,5980.129883,6020.589844,5980.129883,6000.569824
2004/12/29,6038.140137,6102.890137,6038.140137,6088.490234
2004/12/30,6109.97998,6117.660156,6087.319824,6100.859863
2004/12/31,6118.629883,6160.959961,6077.509766,6139.689941
2005/1/3,6166.390137,6183.149902,6129.279785,6143.120117
2005/1/4,6117.870117,6129.379883,6053.180176,6060.459961
2005/1/5,5999.470215,6030.189941,5988.370117,5988.370117
2005/1/6,5988.720215,6002.52002,5971.580078,5982.120117
2005/1/7,5990.779785,6007.339844,5934.830078,5935.990234
2005/1/10,5950.120117,5962.640137,5929.109863,5942.850098
2005/1/11,5948.069824,5993.390137,5942.140137,5975.660156
2005/1/12,5957.899902,5978.410156,5878.390137,5879.080078
2005/1/13,5899.759766,5922.259766,5828.089844,5853.939941
2005/1/14,5831.700195,5895.350098,5813.149902,5889.52002
2005/1/17,5955.620117,5969.029785,5940.060059,5945.27002
2005/1/18,5964.080078,5964.080078,5926.799805,5933.569824
2005/1/19,5952.589844,5961.779785,5895.350098,5895.350098
2005/1/20,5835.680176,5918.330078,5835.680176,5888.100098
2005/1/21,5877.310059,5898.859863,5846.950195,5848.910156
2005/1/24,5859.890137,5862.620117,5763.839844,5771.47998
2005/1/25,5759.209961,5796.850098,5734.870117,5782.75
2005/1/26,5815.47998,5847.410156,5810.140137,5835.370117
2005/1/27,5849.22998,5859.700195,5820.720215,5842.759766
2005/1/28,5845.589844,5902.720215,5836.470215,5879.930176
2005/1/31,5905.299805,6002.370117,5900.370117,5994.22998
2005/2/1,6015.779785,6015.779785,5979.919922,5981.540039
2005/2/2,6016.330078,6064.660156,6010.759766,6018.689941
2005/2/3,6028.939941,6044.430176,6006.22998,6034.600098
2005/2/14,6130.319824,6148.950195,6089.439941,6112.399902
2005/2/15,6121.970215,6142.439941,6106.5,6122.390137
2005/2/16,6134.529785,6158.799805,6086.299805,6143.490234
2005/2/17,6118.620117,6139.649902,6072.160156,6072.160156
2005/2/18,6072.450195,6128.640137,6062.959961,6115.430176
2005/2/21,6145.560059,6172.27002,6133.109863,6142.779785
2005/2/22,6155.540039,6161,6106.189941,6107.169922
2005/2/23,6082.339844,6128.700195,6048.629883,6121.52002
2005/2/24,6123.589844,6171.560059,6109.899902,6128.339844
2005/2/25,6195.240234,6233.529785,6192.379883,6207.830078
2005/3/1,6227.419922,6260.319824,6207.779785,6259.689941
2005/3/2,6267.52002,6267.52002,6219.930176,6225.25
2005/3/3,6219.709961,6219.709961,6164.149902,6202.379883
2005/3/4,6191.419922,6219.069824,6178.259766,6193.620117
2005/3/7,6224.439941,6257.540039,6220.52002,6220.52002
2005/3/8,6250.580078,6255.680176,6156.97998,6173.339844
2005/3/9,6163.560059,6227.129883,6163.560059,6213.279785
2005/3/10,6207.859863,6215.470215,6168.759766,6192.529785
2005/3/11,6225.75,6238.430176,6194.140137,6204.22998
2005/3/14,6181.830078,6193.319824,6151.799805,6155.509766
2005/3/15,6155.490234,6169.52002,6028.169922,6063.47998
2005/3/16,6052.299805,6093.410156,6048.399902,6072.359863
2005/3/17,6021.799805,6054.709961,6002.100098,6032.470215
2005/3/18,6039.22998,6054.75,6018.629883,6043.950195
2005/3/21,6056.100098,6077.939941,6051.529785,6058.959961
2005/3/22,6057.899902,6057.899902,5998.779785,6018.790039
2005/3/23,6005.359863,6023.759766,5970.200195,6019.490234
2005/3/24,6029.740234,6054.649902,6001,6001
2005/3/25,6018.790039,6065.910156,6016.47998,6065.910156
2005/3/28,6091.830078,6093.189941,6048.740234,6048.740234
2005/3/29,6035.77002,6035.77002,5961.240234,5961.240234
2005/3/30,5940.180176,5980.5,5940.180176,5957.97998
2005/3/31,6005.870117,6017.040039,5995.27002,6005.879883
2005/4/1,6010.709961,6028.990234,5959.279785,6028.75
